cds,Ccode,CDcode,Scode,rtype,sname,dname,cname,enroll12,NumTstTakr,NumCurrElaBenchmark,NumPreElaBenchmark,TotNumElaBenchmark,PctElaBenchmark,NumCurrMathBenchmark,NumPreMathBenchmark,TotNumMathBenchmark,PctMathBenchmark,TotNumBothBenchmark,PctBothBenchmark
00000000000000,00,0000000,0000000,X,,,,484169,221433,144893,15103,159996,72.25,98504,13887,112391,50.76,107173,48.40
01000000000000,01,0100000,0000000,C,,,Alameda,16638,9029,5407,1376,6783,75.12,4033,1337,5370,59.48,5147,57.01
01100170000000,01,0110017,0000000,D,,Alameda County Office of Education,Alameda,253,83,28,0,28,33.73,9,0,9,10.84,9,10.84
01100170112607,01,0110017,0112607,S,Envision Academy for Arts & Technology,Alameda County Office of Education,Alameda,81,83,28,0,28,33.73,9,0,9,10.84,9,10.84
01611190000000,01,0161119,0000000,D,,Alameda Unified,Alameda,910,495,373,51,424,85.66,298,47,345,69.70,330,66.67
01611190106401,01,0161119,0106401,S,Alameda Science and Technology Institute,Alameda Unified,Alameda,44,44,42,1,43,97.73,39,1,40,90.91,39,88.64
01611190119222,01,0161119,0119222,S,Nea Community Learning Center,Alameda Unified,Alameda,16,15,10,0,10,66.67,4,0,4,26.67,4,26.67
01611190130229,01,0161119,0130229,S,Alameda High,Alameda Unified,Alameda,419,278,204,46,250,89.93,170,42,212,76.26,205,73.74
01611190130609,01,0161119,0130609,S,Alameda Community Learning Center,Alameda Unified,Alameda,52,36,29,3,32,88.89,24,3,27,75.00,26,72.22
01611190130625,01,0161119,0130625,S,Alternatives in Action,Alameda Unified,Alameda,30,17,5,0,5,29.41,1,0,1,5.88,1,5.88
01611190132142,01,0161119,0132142,S,Encinal Junior/Senior High,Alameda Unified,Alameda,245,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
01611270000000,01,0161127,0000000,D,,Albany City Unified,Alameda,300,153,114,27,141,92.16,103,26,129,84.31,125,81.70
01611270130450,01,0161127,0130450,S,Albany High,Albany City Unified,Alameda,295,153,114,27,141,92.16,103,26,129,84.31,125,81.70
01611430000000,01,0161143,0000000,D,,Berkeley Unified,Alameda,891,491,346,56,402,81.87,274,54,328,66.80,319,64.97
01611430122697,01,0161143,0122697,S,REALM Charter High,Berkeley Unified,Alameda,63,39,18,0,18,46.15,11,0,11,28.21,11,28.21
01611430131177,01,0161143,0131177,S,Berkeley High,Berkeley Unified,Alameda,781,451,328,56,384,85.14,263,54,317,70.29,308,68.29
01611430134924,01,0161143,0134924,S,Berkeley Technology Academy,Berkeley Unified,Alameda,44,1,*,*,*,*,*,*,*,*,*,*
01611500000000,01,0161150,0000000,D,,Castro Valley Unified,Alameda,779,411,319,41,360,87.59,275,38,313,76.16,303,73.72
01611500132225,01,0161150,0132225,S,Castro Valley High,Castro Valley Unified,Alameda,714,410,318,41,359,87.56,275,38,313,76.34,303,73.90
01611500135533,01,0161150,0135533,S,Redwood Continuation High,Castro Valley Unified,Alameda,60,1,*,*,*,*,*,*,*,*,*,*
01611680000000,01,0161168,0000000,D,,Emery Unified,Alameda,35,15,12,0,12,80.00,7,0,7,46.67,7,46.67
01611680132746,01,0161168,0132746,S,Emery Secondary,Emery Unified,Alameda,35,15,12,0,12,80.00,7,0,7,46.67,7,46.67
01611760000000,01,0161176,0000000,D,,Fremont Unified,Alameda,2479,1390,580,691,1271,91.44,497,679,1176,84.60,1161,83.53
01611760130062,01,0161176,0130062,S,American High,Fremont Unified,Alameda,510,335,151,162,313,93.43,122,157,279,83.28,275,82.09
01611760130138,01,0161176,0130138,S,Robertson High (Continuation),Fremont Unified,Alameda,108,1,*,*,*,*,*,*,*,*,*,*
01611760130435,01,0161176,0130435,S,Vista Alternative,Fremont Unified,Alameda,11,1,*,*,*,*,*,*,*,*,*,*
01611760130534,01,0161176,0130534,S,Circle of Independent Learning,Fremont Unified,Alameda,43,12,*,*,*,*,*,*,*,*,*,*
01611760134270,01,0161176,0134270,S,Irvington High,Fremont Unified,Alameda,495,312,134,157,291,93.27,126,155,281,90.06,277,88.78
01611760134452,01,0161176,0134452,S,John F. Kennedy High,Fremont Unified,Alameda,362,152,87,21,108,71.05,67,18,85,55.92,81,53.29
01611760135244,01,0161176,0135244,S,Mission San Jose High,Fremont Unified,Alameda,476,367,74,286,360,98.09,71,285,356,97.00,354,96.46
01611760138693,01,0161176,0138693,S,Washington High,Fremont Unified,Alameda,430,210,126,63,189,90.00,105,62,167,79.52,166,79.05
01611920000000,01,0161192,0000000,D,,Hayward Unified,Alameda,1640,677,461,1,462,68.24,269,1,270,39.88,249,36.78
01611920108670,01,0161192,0108670,S,Leadership Public Schools - Hayward,Hayward Unified,Alameda,134,112,81,0,81,72.32,51,0,51,45.54,48,42.86
01611920113902,01,0161192,0113902,S,Impact Academy of Arts & Technology,Hayward Unified,Alameda,111,104,65,0,65,62.50,35,0,35,33.65,31,29.81
01611920127944,01,0161192,0127944,S,Silver Oak High Public Montessori Charter,Hayward Unified,Alameda,36,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
01611920133629,01,0161192,0133629,S,Hayward High,Hayward Unified,Alameda,346,137,94,1,95,69.34,52,1,53,38.69,50,36.50
01611920135319,01,0161192,0135319,S,Mt. Eden High,Hayward Unified,Alameda,491,209,148,0,148,70.81,100,0,100,47.85,92,44.02
01611920138339,01,0161192,0138339,S,Tennyson High,Hayward Unified,Alameda,337,115,73,0,73,63.48,31,0,31,26.96,28,24.35
01612000000000,01,0161200,0000000,D,,Livermore Valley Joint Unified,Alameda,1086,493,386,58,444,90.06,327,55,382,77.48,370,75.05
01612000120931,01,0161200,0120931,S,Livermore Valley Charter Preparatory High,Livermore Valley Joint Unified,Alameda,86,75,55,6,61,81.33,37,6,43,57.33,43,57.33
01612000130393,01,0161200,0130393,S,Vineyard Alternative,Livermore Valley Joint Unified,Alameda,49,3,*,*,*,*,*,*,*,*,*,*
01612000133397,01,0161200,0133397,S,Granada High,Livermore Valley Joint Unified,Alameda,470,218,165,37,202,92.66,147,35,182,83.49,173,79.36
01612000134536,01,0161200,0134536,S,Livermore High,Livermore Valley Joint Unified,Alameda,398,197,164,14,178,90.36,142,13,155,78.68,152,77.16
01612340000000,01,0161234,0000000,D,,Newark Unified,Alameda,405,168,125,6,131,77.98,90,4,94,55.95,90,53.57
01612340130054,01,0161234,0130054,S,Newark Memorial High,Newark Unified,Alameda,351,166,124,6,130,78.31,90,4,94,56.63,90,54.22
01612340130484,01,0161234,0130484,S,Crossroads High (Alternative),Newark Unified,Alameda,17,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
